DriverNumber,Driver,TeamName,Q1,Q2,Q3,Year,Round,FP1,FP2,FP3
44,Lewis Hamilton,Mercedes,82.824,82.051,81.164,2018,1,84.026,83.931,94.225
7,Kimi Räikkönen,Ferrari,83.096,82.507,81.828,2018,1,84.875,84.214,88.499
5,Sebastian Vettel,Ferrari,83.348,81.944,81.838,2018,1,84.995,84.46,86.067
33,Max Verstappen,Red Bull Racing,83.483,82.416,81.879,2018,1,84.771,84.058,91.68
3,Daniel Ricciardo,Red Bull Racing,83.494,82.897,82.152,2018,1,85.063,84.721,94.043
20,Kevin Magnussen,Haas F1 Team,83.909,83.3,83.187,2018,1,87.035,85.246,96.807
8,Romain Grosjean,Haas F1 Team,83.671,83.468,83.339,2018,1,85.73,84.648,96.171
27,Nico Hulkenberg,Renault,83.782,83.544,83.532,2018,1,86.583,85.471,98.482
55,Carlos Sainz,Renault,83.529,83.061,83.577,2018,1,85.922,85.39,93.172
77,Valtteri Bottas,Mercedes,83.686,82.089,,2018,1,84.577,84.159,94.174
14,Fernando Alonso,McLaren,83.597,83.692,,2018,1,85.896,85.2,94.298
2,Stoffel Vandoorne,McLaren,84.073,83.853,,2018,1,86.482,85.285,94.233
11,Sergio Perez,Force India,84.344,84.005,,2018,1,86.767,85.413,
18,Lance Stroll,Williams,84.464,84.23,,2018,1,86.636,85.543,95.828
31,Esteban Ocon,Force India,84.503,84.786,,2018,1,86.605,85.888,
28,Brendon Hartley,Toro Rosso,84.532,,,2018,1,87.745,85.925,95.438
9,Marcus Ericsson,Sauber,84.556,,,2018,1,87.964,86.814,88.89
16,Charles Leclerc,Sauber,84.636,,,2018,1,88.853,86.815,96.448
35,Sergey Sirotkin,Williams,84.922,,,2018,1,86.536,85.974,95.589
10,Pierre Gasly,Toro Rosso,85.295,,,2018,1,86.494,85.945,94.99
5,Sebastian Vettel,Ferrari,89.06,88.341,87.958,2018,2,91.47,89.828,90.719
7,Kimi Räikkönen,Ferrari,88.951,88.515,88.101,2018,2,91.458,89.817,89.868
77,Valtteri Bottas,Mercedes,89.275,88.794,88.124,2018,2,91.364,90.38,90.781
44,Lewis Hamilton,Mercedes,89.396,88.458,88.22,2018,2,92.272,90.472,90.691
3,Daniel Ricciardo,Red Bull Racing,89.552,88.962,88.398,2018,2,91.06,90.751,90.452
10,Pierre Gasly,Toro Rosso,90.121,89.836,89.329,2018,2,92.779,91.232,91.438
20,Kevin Magnussen,Haas F1 Team,89.594,89.623,89.358,2018,2,92.971,91.969,91.737
27,Nico Hulkenberg,Renault,90.26,89.187,89.57,2018,2,93.104,91.22,91.144
31,Esteban Ocon,Force India,90.338,90.009,89.874,2018,2,93.794,91.809,91.554
55,Carlos Sainz,Renault,89.893,89.802,89.986,2018,2,92.885,91.601,91.2
28,Brendon Hartley,Toro Rosso,90.412,90.105,,2018,2,93.497,92.908,91.46
11,Sergio Perez,Force India,90.218,90.156,,2018,2,93.662,91.868,91.564
14,Fernando Alonso,McLaren,90.53,90.212,,2018,2,93.223,91.282,91.445
2,Stoffel Vandoorne,McLaren,90.479,90.525,,2018,2,93.364,91.422,91.86
33,Max Verstappen,Red Bull Racing,89.374,,,2018,2,,90.745,90.393
8,Romain Grosjean,Haas F1 Team,90.53,,,2018,2,92.516,91.591,91.513
9,Marcus Ericsson,Sauber,91.063,,,2018,2,93.508,92.733,91.859
35,Sergey Sirotkin,Williams,91.414,,,2018,2,93.467,92.474,92.463
16,Charles Leclerc,Sauber,91.42,,,2018,2,93.278,92.372,92.047
18,Lance Stroll,Williams,91.503,,,2018,2,93.379,92.382,92.865
5,Sebastian Vettel,Ferrari,92.171,92.385,91.095,2018,3,94.861,93.59,93.018
